dat_21,num_dat_21,dat_11,common_cats
Africa: Central and Western Africa,15,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa
Africa: Central and Western Africa,15,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa
Africa: Central and Western Africa,15,Africa: Central and Western Africa: Other Central and Western Africa,Africa: Central and Western Africa
Africa: North Africa,14,Africa: North Africa,Africa: North Africa
Africa: South and Eastern Africa,16,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa
Africa: South and Eastern Africa,16,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa
Africa: South and Eastern Africa,16,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa
Africa: South and Eastern Africa,16,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa
Africa: South and Eastern Africa,16,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: South and Eastern Africa
"Antarctica and Oceania, including Australasia",24,Antarctica and Oceania: Australasia: Australia,"Antarctica and Oceania, including Australasia"
"Antarctica and Oceania, including Australasia",24,Antarctica and Oceania: Australasia: New Zealand,"Antarctica and Oceania, including Australasia"
"Antarctica and Oceania, including Australasia",24,Antarctica and Oceania: Other Oceania,"Antarctica and Oceania, including Australasia"
British Overseas Territories,25,British Overseas Territories,British Overseas Territories
Europe: Ireland,2,Europe: Ireland,Europe: Ireland
Europe: Other Europe: EU Member countries: France,3,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: EU Member countries: France
Europe: Other Europe: EU Member countries: Germany,4,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: EU Member countries: Germany
Europe: Other Europe: EU Member countries: Italy,5,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: EU Member countries: Italy
Europe: Other Europe: EU Member countries: Lithuania,8,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: EU Member countries: Lithuania
Europe: Other Europe: EU Member countries: Other EU countries,11,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: EU Member countries: Other EU countries
Europe: Other Europe: EU Member countries: Other EU countries,11,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: EU Member countries: Other EU countries
Europe: Other Europe: EU Member countries: Poland,9,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: EU Member countries: Poland
Europe: Other Europe: EU Member countries: Portugal,6,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: EU Member countries: Portugal
Europe: Other Europe: EU Member countries: Romania,10,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: EU Member countries: Romania
Europe: Other Europe: EU Member countries: Spain,7,Europe: Other Europe: EU countries: Member countries in March 2001: Spain,Europe: Other Europe: EU Member countries: Spain
Europe: Other Europe: Rest of Europe: Other Europe,13,Europe: Other Europe: Rest of Europe: Other Europe,Europe: Other Europe: Rest of Europe: Other Europe
Europe: Other Europe: Rest of Europe: Turkey,12,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Turkey
Europe: United Kingdom,1,Europe: United Kingdom,Europe: United Kingdom
Middle East and Asia: Central Asia,21,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia
Middle East and Asia: Eastern Asia,18,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia
Middle East and Asia: Eastern Asia,18,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia
Middle East and Asia: Eastern Asia,18,Middle East and Asia: Eastern Asia: Hong Kong: Special Administrative Region of China,Middle East and Asia: Eastern Asia
Middle East and Asia: Eastern Asia,18,Middle East and Asia: Eastern Asia: Japan,Middle East and Asia: Eastern Asia
Middle East and Asia: Eastern Asia,18,Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Eastern Asia
Middle East and Asia: Middle East,17,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East
Middle East and Asia: Middle East,17,Middle East and Asia: Middle East: Iraq,Middle East and Asia: Middle East
Middle East and Asia: Middle East,17,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Middle East
Middle East and Asia: South-East Asia,20,Middle East and Asia: South-East Asia: Malaysia,Middle East and Asia: South-East Asia
Middle East and Asia: South-East Asia,20,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia
Middle East and Asia: South-East Asia,20,Middle East and Asia: South-East Asia: Singapore,Middle East and Asia: South-East Asia
Middle East and Asia: South-East Asia,20,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: South-East Asia
Middle East and Asia: South-East Asia,20,Middle East and Asia: South East Asia: Malaysia,Middle East and Asia: South-East Asia
Middle East and Asia: South-East Asia,20,Middle East and Asia: South East Asia: Other South East Asia,Middle East and Asia: South-East Asia
Middle East and Asia: South-East Asia,20,Middle East and Asia: South East Asia: Philippines,Middle East and Asia: South-East Asia
Middle East and Asia: South-East Asia,20,Middle East and Asia: South East Asia: Singapore,Middle East and Asia: South-East Asia
Middle East and Asia: Southern Asia,19,Middle East and Asia: Southern Asia: Afghanistan,Middle East and Asia: Southern Asia
Middle East and Asia: Southern Asia,19,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia
Middle East and Asia: Southern Asia,19,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia
Middle East and Asia: Southern Asia,19,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia
Middle East and Asia: Southern Asia,19,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia
Middle East and Asia: Southern Asia,19,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: Southern Asia
No passport held,26,No passport held,No passport held
The Americas and the Caribbean: Central and South America,23,The Americas and the Caribbean: Central America,The Americas and the Caribbean: Central and South America
The Americas and the Caribbean: Central and South America,23,The Americas and the Caribbean: South America,The Americas and the Caribbean: Central and South America
The Americas and the Caribbean: North America and the Caribbean,22,The Americas and the Caribbean: North America: Canada,The Americas and the Caribbean: North America and the Caribbean
The Americas and the Caribbean: North America and the Caribbean,22,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America and the Caribbean
The Americas and the Caribbean: North America and the Caribbean,22,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: North America and the Caribbean
The Americas and the Caribbean: North America and the Caribbean,22,The Americas and the Caribbean: The Caribbean: Other Caribbean,The Americas and the Caribbean: North America and the Caribbean
