ward21cd,ward21nm,lsoa21cd,lsoa_weight,lad22cd
E05009288,Aldersgate,E01000001,0.891588785046729,E09000001
E05009288,Aldersgate,E01000003,0.244167962674961,E09000001
E05009289,Aldgate,E01000005,0,E09000001
E05009289,Aldgate,E01032739,0,E09000001
E05009290,Bassishaw,E01000002,0.0846153846153846,E09000001
E05009290,Bassishaw,E01032739,0,E09000001
E05009291,Billingsgate,E01032739,0.106474820143885,E09000001
E05009292,Bishopsgate,E01000005,0,E09000001
E05009292,Bishopsgate,E01032739,0.113669064748201,E09000001
E05009293,Bread Street,E01032739,0,E09000001
E05009294,Bridge,E01032739,0.280095923261391,E09000001
E05009295,Broad Street,E01032739,0,E09000001
E05009296,Candlewick,E01032739,0,E09000001
E05009297,Castle Baynard,E01032739,0.052757793764988,E09000001
E05009297,Castle Baynard,E01032740,0.207616707616708,E09000001
E05009298,Cheap,E01000001,0,E09000001
E05009298,Cheap,E01000002,0,E09000001
E05009298,Cheap,E01032739,0,E09000001
E05009299,Coleman Street,E01032739,0,E09000001
E05009300,Cordwainer,E01032739,0,E09000001
E05009301,Cornhill,E01032739,0,E09000001
E05009302,Cripplegate,E01000002,0.915384615384615,E09000001
E05009302,Cripplegate,E01000003,0.755832037325039,E09000001
E05009303,Dowgate,E01032739,0,E09000001
E05009304,Farringdon Within,E01000001,0.108411214953271,E09000001
E05009304,Farringdon Within,E01032739,0.101678657074341,E09000001
E05009304,Farringdon Within,E01032740,0.342751842751843,E09000001
E05009305,Farringdon Without,E01032740,0.44963144963145,E09000001
E05009306,Langbourn,E01032739,0,E09000001
E05009307,Lime Street,E01032739,0,E09000001
E05009308,Portsoken,E01000005,0.599286563614744,E09000001
E05009309,Queenhithe,E01032739,0.152038369304556,E09000001
E05009310,Tower,E01000005,0.400713436385256,E09000001
E05009310,Tower,E01032739,0.193285371702638,E09000001
E05009311,Vintry,E01032739,0,E09000001
E05009312,Walbrook,E01032739,0,E09000001
E05014053,Abbey,E01000050,0.547581903276131,E09000002
E05014053,Abbey,E01000051,0.0591073582629674,E09000002
E05014053,Abbey,E01033587,0,E09000002
E05014053,Abbey,E01034473,0.91063829787234,E09000002
E05014053,Abbey,E01034474,0.741071428571429,E09000002
E05014054,Alibon,E01000013,0.362818590704648,E09000002
E05014054,Alibon,E01000014,0,E09000002
E05014054,Alibon,E01000015,1,E09000002
E05014054,Alibon,E01000016,1,E09000002
E05014054,Alibon,E01000017,0.189406099518459,E09000002
E05014054,Alibon,E01000018,1,E09000002
E05014054,Alibon,E01000035,0.73482428115016,E09000002
E05014054,Alibon,E01000036,1,E09000002
E05014055,Barking Riverside,E01000091,0.66803840877915,E09000002
E05014055,Barking Riverside,E01000094,1,E09000002
E05014055,Barking Riverside,E01000095,0.943548387096774,E09000002
E05014055,Barking Riverside,E01000096,0.518164435946463,E09000002
E05014055,Barking Riverside,E01034476,0.24952380952381,E09000002
E05014055,Barking Riverside,E01034477,1,E09000002
E05014055,Barking Riverside,E01034478,1,E09000002
E05014056,Beam,E01000084,0,E09000002
E05014056,Beam,E01000085,0.58161648177496,E09000002
E05014056,Beam,E01000086,0.167953667953668,E09000002
E05014056,Beam,E01000087,1,E09000002
E05014056,Beam,E01000088,1,E09000002
E05014056,Beam,E01000089,1,E09000002
E05014056,Beam,E01000090,1,E09000002
E05014057,Becontree,E01000019,1,E09000002
E05014057,Becontree,E01000020,1,E09000002
E05014057,Becontree,E01000021,0.923714759535655,E09000002
E05014057,Becontree,E01000022,1,E09000002
E05014057,Becontree,E01000024,0.490364025695931,E09000002
E05014057,Becontree,E01000083,0,E09000002
E05014057,Becontree,E01032580,1,E09000002
E05014057,Becontree,E01034471,0.2325,E09000002
E05014058,Chadwell Heath,E01000027,1,E09000002
E05014058,Chadwell Heath,E01000028,1,E09000002
E05014058,Chadwell Heath,E01000029,1,E09000002
E05014058,Chadwell Heath,E01000030,1,E09000002
E05014058,Chadwell Heath,E01000031,1,E09000002
E05014058,Chadwell Heath,E01000032,1,E09000002
E05014058,Chadwell Heath,E01000110,0.755140186915888,E09000002
E05014058,Chadwell Heath,E01000111,0.1657824933687,E09000002
E05014058,Chadwell Heath,E01000112,0.125,E09000002
E05014058,Chadwell Heath,E01000113,0,E09000002
E05014059,Eastbrook & Rush Green,E01000033,1,E09000002
E05014059,Eastbrook & Rush Green,E01000034,1,E09000002
E05014059,Eastbrook & Rush Green,E01000035,0.26517571884984,E09000002
E05014059,Eastbrook & Rush Green,E01000037,1,E09000002
E05014059,Eastbrook & Rush Green,E01000038,1,E09000002
E05014059,Eastbrook & Rush Green,E01000039,1,E09000002
E05014059,Eastbrook & Rush Green,E01000060,0,E09000002
E05014059,Eastbrook & Rush Green,E01000061,0.053864168618267,E09000002
E05014060,Eastbury,E01000040,1,E09000002
E05014060,Eastbury,E01000041,1,E09000002
E05014060,Eastbury,E01000042,1,E09000002
E05014060,Eastbury,E01000043,1,E09000002
E05014060,Eastbury,E01000044,1,E09000002
E05014060,Eastbury,E01000045,1,E09000002
E05014060,Eastbury,E01000046,1,E09000002
E05014060,Eastbury,E01000055,0.700173310225303,E09000002
E05014060,Eastbury,E01000057,0.540250447227191,E09000002
E05014060,Eastbury,E01000096,0.481835564053537,E09000002
E05014061,Gascoigne,E01000049,1,E09000002
E05014061,Gascoigne,E01000050,0.452418096723869,E09000002
E05014061,Gascoigne,E01000051,0.940892641737033,E09000002
E05014061,Gascoigne,E01000052,1,E09000002
E05014061,Gascoigne,E01033587,1,E09000002
E05014061,Gascoigne,E01034479,1,E09000002
E05014062,Goresbrook,E01000053,1,E09000002
E05014062,Goresbrook,E01000054,1,E09000002
E05014062,Goresbrook,E01000055,0.299826689774697,E09000002
E05014062,Goresbrook,E01000056,1,E09000002
E05014062,Goresbrook,E01000057,0.459749552772809,E09000002
E05014062,Goresbrook,E01000058,1,E09000002
E05014062,Goresbrook,E01000059,1,E09000002
E05014062,Goresbrook,E01000075,0.161442006269592,E09000002
E05014062,Goresbrook,E01000076,0.143243243243243,E09000002
E05014062,Goresbrook,E01000084,1,E09000002
E05014062,Goresbrook,E01000085,0,E09000002
E05014062,Goresbrook,E01000086,0.832046332046332,E09000002
E05014062,Goresbrook,E01000095,0.0564516129032258,E09000002
E05014063,Heath,E01000060,1,E09000002
E05014063,Heath,E01000061,0.946135831381733,E09000002
E05014063,Heath,E01000062,1,E09000002
E05014063,Heath,E01000063,0.244648318042813,E09000002
E05014063,Heath,E01000064,1,E09000002
E05014063,Heath,E01000065,0.0714285714285714,E09000002
E05014064,Longbridge,E01000066,1,E09000002
E05014064,Longbridge,E01000067,1,E09000002
E05014064,Longbridge,E01000068,1,E09000002
E05014064,Longbridge,E01000069,1,E09000002
E05014064,Longbridge,E01000070,1,E09000002
E05014064,Longbridge,E01000071,1,E09000002
E05014065,Mayesbrook,E01000021,0.0762852404643449,E09000002
E05014065,Mayesbrook,E01000024,0.509635974304069,E09000002
E05014065,Mayesbrook,E01000025,1,E09000002
E05014065,Mayesbrook,E01000072,1,E09000002
E05014065,Mayesbrook,E01000073,1,E09000002
E05014065,Mayesbrook,E01000074,1,E09000002
E05014065,Mayesbrook,E01000075,0.655172413793103,E09000002
E05014065,Mayesbrook,E01000076,0.856756756756757,E09000002
E05014065,Mayesbrook,E01000077,0,E09000002
E05014065,Mayesbrook,E01034471,0.7675,E09000002
E05014065,Mayesbrook,E01034472,1,E09000002
E05014066,Northbury,E01000006,1,E09000002
E05014066,Northbury,E01000007,1,E09000002
E05014066,Northbury,E01000008,1,E09000002
E05014066,Northbury,E01000009,1,E09000002
E05014066,Northbury,E01000011,1,E09000002
E05014066,Northbury,E01000012,1,E09000002
E05014066,Northbury,E01034473,0.0893617021276596,E09000002
E05014066,Northbury,E01034474,0.258928571428571,E09000002
E05014067,Parsloes,E01000013,0.637181409295352,E09000002
E05014067,Parsloes,E01000014,1,E09000002
E05014067,Parsloes,E01000016,0,E09000002
E05014067,Parsloes,E01000017,0.810593900481541,E09000002
E05014067,Parsloes,E01000063,0.2782874617737,E09000002
E05014067,Parsloes,E01000065,0.928571428571429,E09000002
E05014067,Parsloes,E01000074,0,E09000002
E05014067,Parsloes,E01000075,0.183385579937304,E09000002
E05014067,Parsloes,E01000077,1,E09000002
E05014067,Parsloes,E01000078,0.456845238095238,E09000002
E05014067,Parsloes,E01000079,1,E09000002
E05014067,Parsloes,E01000080,1,E09000002
E05014067,Parsloes,E01000081,1,E09000002
E05014067,Parsloes,E01000082,0,E09000002
E05014067,Parsloes,E01000083,0,E09000002
E05014068,Thames View,E01000091,0.331961591220851,E09000002
E05014068,Thames View,E01000093,1,E09000002
E05014068,Thames View,E01034475,1,E09000002
E05014068,Thames View,E01034476,0.750476190476191,E09000002
E05014068,Thames View,E01034478,0,E09000002
E05014069,Valence,E01000063,0.477064220183486,E09000002
E05014069,Valence,E01000078,0.543154761904762,E09000002
E05014069,Valence,E01000082,1,E09000002
E05014069,Valence,E01000083,1,E09000002
E05014069,Valence,E01000097,0.601115760111576,E09000002
E05014069,Valence,E01000098,1,E09000002
E05014069,Valence,E01000099,0.359456635318704,E09000002
E05014069,Valence,E01000100,1,E09000002
E05014069,Valence,E01000101,1,E09000002
E05014069,Valence,E01000102,1,E09000002
E05014070,Village,E01000085,0.41838351822504,E09000002
E05014070,Village,E01000088,0,E09000002
E05014070,Village,E01000103,1,E09000002
E05014070,Village,E01000104,1,E09000002
E05014070,Village,E01000105,1,E09000002
E05014070,Village,E01000106,1,E09000002
E05014070,Village,E01000107,1,E09000002
E05014070,Village,E01000108,1,E09000002
E05014071,Whalebone,E01000097,0.398884239888424,E09000002
E05014071,Whalebone,E01000099,0.640543364681296,E09000002
E05014071,Whalebone,E01000110,0.244859813084112,E09000002
E05014071,Whalebone,E01000111,0.8342175066313,E09000002
E05014071,Whalebone,E01000112,0.875,E09000002
E05014071,Whalebone,E01000113,1,E09000002
E05014071,Whalebone,E01000114,1,E09000002
E05014071,Whalebone,E01034469,1,E09000002
E05014071,Whalebone,E01034470,1,E09000002
E05013628,Barnet Vale,E01000246,1,E09000003
E05013628,Barnet Vale,E01000247,1,E09000003
E05013628,Barnet Vale,E01000250,0.163197335553705,E09000003
E05013628,Barnet Vale,E01000251,1,E09000003
E05013628,Barnet Vale,E01000252,1,E09000003
E05013628,Barnet Vale,E01000267,1,E09000003
E05013628,Barnet Vale,E01000268,1,E09000003
E05013628,Barnet Vale,E01000269,1,E09000003
E05013628,Barnet Vale,E01000270,1,E09000003
E05013628,Barnet Vale,E01000271,0.949848024316109,E09000003
E05013628,Barnet Vale,E01000272,0.068901303538175,E09000003
E05013628,Barnet Vale,E01000282,0.14586255259467,E09000003
E05013628,Barnet Vale,E01000288,0.656565656565657,E09000003
E05013629,Brunswick Park,E01000115,1,E09000003
E05013629,Brunswick Park,E01000116,1,E09000003
E05013629,Brunswick Park,E01000117,0.673103448275862,E09000003
E05013629,Brunswick Park,E01000118,0.939276485788114,E09000003
E05013629,Brunswick Park,E01000119,1,E09000003
E05013629,Brunswick Park,E01000120,1,E09000003
E05013629,Brunswick Park,E01000121,1,E09000003
E05013629,Brunswick Park,E01000122,1,E09000003
E05013629,Brunswick Park,E01000123,1,E09000003
E05013629,Brunswick Park,E01000124,1,E09000003
E05013630,Burnt Oak,E01000126,0.262101534828808,E09000003
E05013630,Burnt Oak,E01000127,1,E09000003
E05013630,Burnt Oak,E01000128,1,E09000003
E05013630,Burnt Oak,E01000129,1,E09000003
E05013630,Burnt Oak,E01000130,0.926153846153846,E09000003
E05013630,Burnt Oak,E01000131,0.530913978494624,E09000003
E05013630,Burnt Oak,E01000132,1,E09000003
E05013630,Burnt Oak,E01000133,1,E09000003
E05013630,Burnt Oak,E01000134,1,E09000003
E05013630,Burnt Oak,E01000194,0.571808510638298,E09000003
E05013630,Burnt Oak,E01000226,1,E09000003
E05013630,Burnt Oak,E01000235,0.867781155015198,E09000003
E05013630,Burnt Oak,E01033913,1,E09000003
E05013630,Burnt Oak,E01033914,1,E09000003
E05013631,Childs Hill,E01000135,1,E09000003
E05013631,Childs Hill,E01000136,1,E09000003
E05013631,Childs Hill,E01000137,1,E09000003
E05013631,Childs Hill,E01000138,1,E09000003
E05013631,Childs Hill,E01000139,1,E09000003
E05013631,Childs Hill,E01000140,1,E09000003
E05013631,Childs Hill,E01000141,0.14187643020595,E09000003
E05013631,Childs Hill,E01000142,0.893877551020408,E09000003
E05013631,Childs Hill,E01000143,0.110070257611241,E09000003
E05013631,Childs Hill,E01000144,1,E09000003
E05013631,Childs Hill,E01000145,1,E09000003
E05013631,Childs Hill,E01000146,1,E09000003
E05013631,Childs Hill,E01000206,0.120980091883614,E09000003
E05013631,Childs Hill,E01000212,0.192176870748299,E09000003
E05013631,Childs Hill,E01000214,0.665841584158416,E09000003
E05013631,Childs Hill,E01000216,0.116556291390729,E09000003
E05013631,Childs Hill,E01000218,0.179331306990881,E09000003
E05013632,Colindale North,E01000126,0.737898465171192,E09000003
E05013632,Colindale North,E01000130,0.0738461538461539,E09000003
E05013632,Colindale North,E01000131,0.469086021505376,E09000003
E05013632,Colindale North,E01000151,1,E09000003
E05013632,Colindale North,E01000152,1,E09000003
E05013632,Colindale North,E01000153,1,E09000003
E05013632,Colindale North,E01000154,0.880272108843538,E09000003
E05013632,Colindale North,E01033915,0.0547703180212014,E09000003
E05013632,Colindale North,E01033916,1,E09000003
E05013633,Colindale South,E01000147,1,E09000003
E05013633,Colindale South,E01000150,0.548899755501223,E09000003
E05013633,Colindale South,E01000154,0.119727891156463,E09000003
E05013633,Colindale South,E01033915,0.945229681978799,E09000003
E05013633,Colindale South,E01033916,0,E09000003
E05013633,Colindale South,E01033917,1,E09000003
E05013633,Colindale South,E01033918,1,E09000003
E05013633,Colindale South,E01033919,1,E09000003
E05013633,Colindale South,E01033920,1,E09000003
E05013633,Colindale South,E01033921,1,E09000003
E05013633,Colindale South,E01033922,1,E09000003
E05013633,Colindale South,E01033923,1,E09000003
E05013633,Colindale South,E01033924,1,E09000003
E05013633,Colindale South,E01033925,1,E09000003
E05013634,Cricklewood,E01000141,0.85812356979405,E09000003
E05013634,Cricklewood,E01000142,0.106122448979592,E09000003
E05013634,Cricklewood,E01000143,0.889929742388759,E09000003
E05013634,Cricklewood,E01000221,0.892578125,E09000003
E05013634,Cricklewood,E01000222,1,E09000003
E05013634,Cricklewood,E01000223,1,E09000003
E05013634,Cricklewood,E01000224,1,E09000003
E05013635,East Barnet,E01000117,0.326896551724138,E09000003
E05013635,East Barnet,E01000166,1,E09000003
E05013635,East Barnet,E01000167,1,E09000003
E05013635,East Barnet,E01000168,1,E09000003
E05013635,East Barnet,E01000169,1,E09000003
E05013635,East Barnet,E01000170,1,E09000003
E05013635,East Barnet,E01000171,1,E09000003
E05013635,East Barnet,E01000172,1,E09000003
E05013635,East Barnet,E01000173,1,E09000003
E05013635,East Barnet,E01000174,1,E09000003
E05013635,East Barnet,E01000175,1,E09000003
E05013636,East Finchley,E01000176,1,E09000003
E05013636,East Finchley,E01000177,1,E09000003
E05013636,East Finchley,E01000178,1,E09000003
E05013636,East Finchley,E01000179,1,E09000003
E05013636,East Finchley,E01000180,1,E09000003
E05013636,East Finchley,E01000181,1,E09000003
E05013636,East Finchley,E01000182,1,E09000003
E05013636,East Finchley,E01000183,0.8256,E09000003
E05013636,East Finchley,E01000184,1,E09000003
E05013636,East Finchley,E01000185,1,E09000003
E05013637,Edgware,E01000186,0.310546875,E09000003
E05013637,Edgware,E01000188,0.187855787476281,E09000003
E05013637,Edgware,E01000189,1,E09000003
E05013637,Edgware,E01000190,1,E09000003
E05013637,Edgware,E01000191,0.922398589065256,E09000003
E05013637,Edgware,E01000192,1,E09000003
E05013637,Edgware,E01000193,1,E09000003
E05013637,Edgware,E01000194,0.428191489361702,E09000003
E05013637,Edgware,E01000227,1,E09000003
E05013637,Edgware,E01000229,0.148692810457516,E09000003
E05013637,Edgware,E01000230,0.388478581979321,E09000003
E05013637,Edgware,E01000232,1,E09000003
E05013637,Edgware,E01000233,1,E09000003
E05013637,Edgware,E01000234,1,E09000003
E05013637,Edgware,E01000235,0.132218844984802,E09000003
E05013638,Edgwarebury,E01000186,0.689453125,E09000003
E05013638,Edgwarebury,E01000187,1,E09000003
E05013638,Edgwarebury,E01000188,0.812144212523719,E09000003
E05013638,Edgwarebury,E01000191,0.0776014109347443,E09000003
E05013638,Edgwarebury,E01000195,1,E09000003
E05013638,Edgwarebury,E01000228,1,E09000003
E05013638,Edgwarebury,E01000229,0.851307189542484,E09000003
E05013638,Edgwarebury,E01000230,0.61152141802068,E09000003
E05013638,Edgwarebury,E01000231,1,E09000003
E05013638,Edgwarebury,E01000232,0,E09000003
E05013639,Finchley Church End,E01000196,1,E09000003
E05013639,Finchley Church End,E01000197,1,E09000003
E05013639,Finchley Church End,E01000198,1,E09000003
E05013639,Finchley Church End,E01000199,1,E09000003
E05013639,Finchley Church End,E01000200,1,E09000003
E05013639,Finchley Church End,E01000201,1,E09000003
E05013639,Finchley Church End,E01000202,1,E09000003
E05013639,Finchley Church End,E01000203,1,E09000003
E05013639,Finchley Church End,E01000204,1,E09000003
E05013639,Finchley Church End,E01000296,0.254975124378109,E09000003
E05013639,Finchley Church End,E01000303,0.188277087033748,E09000003
E05013639,Finchley Church End,E01000304,1,E09000003
E05013640,Friern Barnet,E01000156,1,E09000003
E05013640,Friern Barnet,E01000157,1,E09000003
E05013640,Friern Barnet,E01000158,1,E09000003
E05013640,Friern Barnet,E01000159,0.8486646884273,E09000003
E05013640,Friern Barnet,E01000160,1,E09000003
E05013640,Friern Barnet,E01000161,1,E09000003
E05013640,Friern Barnet,E01000162,0.735849056603774,E09000003
E05013640,Friern Barnet,E01000163,1,E09000003
E05013640,Friern Barnet,E01000164,1,E09000003
E05013640,Friern Barnet,E01000165,1,E09000003
E05013640,Friern Barnet,E01000265,0.803874092009685,E09000003
E05013640,Friern Barnet,E01000266,0,E09000003
E05013640,Friern Barnet,E01000274,0.251028806584362,E09000003
E05013640,Friern Barnet,E01000315,0.0721153846153846,E09000003
E05013641,Garden Suburb,E01000183,0.1744,E09000003
E05013641,Garden Suburb,E01000205,1,E09000003
E05013641,Garden Suburb,E01000206,0.879019908116386,E09000003
E05013641,Garden Suburb,E01000207,1,E09000003
E05013641,Garden Suburb,E01000208,1,E09000003
E05013641,Garden Suburb,E01000209,1,E09000003
E05013641,Garden Suburb,E01000210,1,E09000003
E05013641,Garden Suburb,E01000211,0.346268656716418,E09000003
E05013641,Garden Suburb,E01000212,0.425170068027211,E09000003
E05013641,Garden Suburb,E01000213,1,E09000003
E05013641,Garden Suburb,E01000214,0.334158415841584,E09000003
E05013642,Golders Green,E01000211,0.653731343283582,E09000003
E05013642,Golders Green,E01000212,0.38265306122449,E09000003
E05013642,Golders Green,E01000215,1,E09000003
E05013642,Golders Green,E01000216,0.883443708609272,E09000003
E05013642,Golders Green,E01000217,1,E09000003
E05013642,Golders Green,E01000218,0.820668693009118,E09000003
E05013642,Golders Green,E01000219,1,E09000003
E05013642,Golders Green,E01000220,1,E09000003
E05013642,Golders Green,E01000221,0.107421875,E09000003
E05013642,Golders Green,E01000225,1,E09000003
E05013643,Hendon,E01000236,1,E09000003
E05013643,Hendon,E01000237,1,E09000003
E05013643,Hendon,E01000238,1,E09000003
E05013643,Hendon,E01000239,1,E09000003
E05013643,Hendon,E01000240,1,E09000003
E05013643,Hendon,E01000241,1,E09000003
E05013643,Hendon,E01000242,1,E09000003
E05013643,Hendon,E01000243,1,E09000003
E05013643,Hendon,E01000244,1,E09000003
E05013643,Hendon,E01000245,1,E09000003
E05013643,Hendon,E01000310,0.501722158438576,E09000003
E05013643,Hendon,E01000311,1,E09000003
E05013644,High Barnet,E01000246,0,E09000003
E05013644,High Barnet,E01000248,1,E09000003
E05013644,High Barnet,E01000249,1,E09000003
E05013644,High Barnet,E01000250,0.836802664446295,E09000003
E05013644,High Barnet,E01000253,1,E09000003
E05013644,High Barnet,E01000254,1,E09000003
E05013644,High Barnet,E01000286,0.751835535976505,E09000003
E05013644,High Barnet,E01000287,0,E09000003
E05013644,High Barnet,E01000290,0.826573426573427,E09000003
E05013644,High Barnet,E01000292,0,E09000003
E05013644,High Barnet,E01000293,0.218112244897959,E09000003
E05013645,Mill Hill,E01000232,0,E09000003
E05013645,Mill Hill,E01000255,1,E09000003
E05013645,Mill Hill,E01000256,1,E09000003
E05013645,Mill Hill,E01000257,0.511520737327189,E09000003
E05013645,Mill Hill,E01000258,1,E09000003
E05013645,Mill Hill,E01000259,1,E09000003
E05013645,Mill Hill,E01000260,1,E09000003
E05013645,Mill Hill,E01000261,1,E09000003
E05013645,Mill Hill,E01000263,1,E09000003
E05013645,Mill Hill,E01000264,1,E09000003
E05013645,Mill Hill,E01033911,0.629055007052186,E09000003
E05013645,Mill Hill,E01033912,0,E09000003
E05013646,Totteridge & Woodside,E01000257,0.488479262672811,E09000003
E05013646,Totteridge & Woodside,E01000275,0.899290780141844,E09000003
E05013646,Totteridge & Woodside,E01000276,1,E09000003
E05013646,Totteridge & Woodside,E01000277,1,E09000003
E05013646,Totteridge & Woodside,E01000278,1,E09000003
E05013646,Totteridge & Woodside,E01000279,1,E09000003
E05013646,Totteridge & Woodside,E01000280,1,E09000003
E05013646,Totteridge & Woodside,E01000282,0.26367461430575,E09000003
E05013646,Totteridge & Woodside,E01000283,1,E09000003
E05013646,Totteridge & Woodside,E01000284,0.274834437086093,E09000003
E05013646,Totteridge & Woodside,E01000300,0.16323731138546,E09000003
E05013646,Totteridge & Woodside,E01000301,0.0528169014084507,E09000003
E05013646,Totteridge & Woodside,E01033911,0.370944992947814,E09000003
E05013646,Totteridge & Woodside,E01033912,1,E09000003
E05013647,Underhill,E01000248,0,E09000003
E05013647,Underhill,E01000285,1,E09000003
E05013647,Underhill,E01000286,0.248164464023495,E09000003
E05013647,Underhill,E01000287,1,E09000003
E05013647,Underhill,E01000288,0.343434343434343,E09000003
E05013647,Underhill,E01000289,1,E09000003
E05013647,Underhill,E01000290,0.173426573426573,E09000003
E05013647,Underhill,E01000291,1,E09000003
E05013647,Underhill,E01000292,1,E09000003
E05013647,Underhill,E01000293,0.781887755102041,E09000003
E05013647,Underhill,E01000294,1,E09000003
E05013648,West Finchley,E01000295,1,E09000003
E05013648,West Finchley,E01000296,0.745024875621891,E09000003
E05013648,West Finchley,E01000297,1,E09000003
E05013648,West Finchley,E01000298,1,E09000003
E05013648,West Finchley,E01000299,1,E09000003
E05013648,West Finchley,E01000300,0.836762688614541,E09000003
E05013648,West Finchley,E01000301,0.947183098591549,E09000003
E05013648,West Finchley,E01000302,1,E09000003
E05013648,West Finchley,E01000303,0.811722912966252,E09000003
E05013648,West Finchley,E01000316,0.838638858397366,E09000003
E05013648,West Finchley,E01000317,1,E09000003
E05013648,West Finchley,E01000318,0.140127388535032,E09000003
E05013648,West Finchley,E01000319,1,E09000003
E05013648,West Finchley,E01000323,0,E09000003
E05013649,West Hendon,E01000150,0.451100244498778,E09000003
E05013649,West Hendon,E01000305,1,E09000003
E05013649,West Hendon,E01000306,1,E09000003
E05013649,West Hendon,E01000307,1,E09000003
E05013649,West Hendon,E01000308,1,E09000003
E05013649,West Hendon,E01000309,1,E09000003
E05013649,West Hendon,E01000310,0.498277841561424,E09000003
E05013649,West Hendon,E01000312,1,E09000003
E05013649,West Hendon,E01000313,1,E09000003
E05013649,West Hendon,E01000314,1,E09000003
E05013650,Whetstone,E01000118,0.0607235142118863,E09000003
E05013650,Whetstone,E01000265,0.196125907990315,E09000003
E05013650,Whetstone,E01000266,1,E09000003
E05013650,Whetstone,E01000267,0,E09000003
E05013650,Whetstone,E01000271,0.0501519756838906,E09000003
E05013650,Whetstone,E01000272,0.931098696461825,E09000003
E05013650,Whetstone,E01000273,1,E09000003
E05013650,Whetstone,E01000274,0.748971193415638,E09000003
E05013650,Whetstone,E01000275,0.100709219858156,E09000003
E05013650,Whetstone,E01000281,1,E09000003
E05013650,Whetstone,E01000282,0.590462833099579,E09000003
E05013650,Whetstone,E01000284,0.725165562913907,E09000003
E05013651,Woodhouse,E01000159,0.1513353115727,E09000003
E05013651,Woodhouse,E01000161,0,E09000003
E05013651,Woodhouse,E01000162,0.264150943396226,E09000003
E05013651,Woodhouse,E01000315,0.927884615384615,E09000003
E05013651,Woodhouse,E01000316,0.161361141602634,E09000003
E05013651,Woodhouse,E01000318,0.859872611464968,E09000003
E05013651,Woodhouse,E01000320,1,E09000003
E05013651,Woodhouse,E01000321,1,E09000003
E05013651,Woodhouse,E01000322,1,E09000003
E05013651,Woodhouse,E01000323,1,E09000003
E05013651,Woodhouse,E01000324,1,E09000003
E05011217,Barnehurst,E01000325,0.87751677852349,E09000004
E05011217,Barnehurst,E01000326,1,E09000004
E05011217,Barnehurst,E01000327,0.263823064770932,E09000004
E05011217,Barnehurst,E01000367,0.569605568445476,E09000004
E05011217,Barnehurst,E01000368,1,E09000004
E05011217,Barnehurst,E01000369,1,E09000004
E05011217,Barnehurst,E01000370,1,E09000004
E05011217,Barnehurst,E01000371,1,E09000004
E05011217,Barnehurst,E01000372,0.132137030995106,E09000004
E05011217,Barnehurst,E01000373,0.100409836065574,E09000004
E05011217,Barnehurst,E01000435,0.194127243066884,E09000004
E05011217,Barnehurst,E01000439,0,E09000004
E05011217,Barnehurst,E01000441,0,E09000004
E05011218,Belvedere,E01000332,1,E09000004
E05011218,Belvedere,E01000333,1,E09000004
E05011218,Belvedere,E01000334,1,E09000004
E05011218,Belvedere,E01000335,1,E09000004
E05011218,Belvedere,E01000336,1,E09000004
E05011218,Belvedere,E01000337,1,E09000004
E05011218,Belvedere,E01000338,1,E09000004
E05011218,Belvedere,E01000402,0.330871491875923,E09000004
E05011218,Belvedere,E01000405,0.0554621848739496,E09000004
E05011218,Belvedere,E01000408,1,E09000004
E05011218,Belvedere,E01000417,0.173207036535859,E09000004
E05011218,Belvedere,E01000418,0.84765625,E09000004
E05011218,Belvedere,E01000465,0,E09000004
E05011219,Bexleyheath,E01000327,0.736176935229068,E09000004
E05011219,Bexleyheath,E01000328,0.301458670988655,E09000004
E05011219,Bexleyheath,E01000329,0.810014727540501,E09000004
E05011219,Bexleyheath,E01000330,1,E09000004
E05011219,Bexleyheath,E01000331,0.263492063492064,E09000004
E05011219,Bexleyheath,E01000353,0.643283582089552,E09000004
E05011219,Bexleyheath,E01000355,1,E09000004
E05011219,Bexleyheath,E01000358,0.417758369723435,E09000004
E05011219,Bexleyheath,E01000360,0.624688279301746,E09000004
E05011219,Bexleyheath,E01000362,1,E09000004
E05011219,Bexleyheath,E01000363,0.479310344827586,E09000004
E05011219,Bexleyheath,E01000364,1,E09000004
E05011219,Bexleyheath,E01000365,1,E09000004
E05011219,Bexleyheath,E01000366,0.118248175182482,E09000004
E05011219,Bexleyheath,E01000436,0,E09000004
E05011219,Bexleyheath,E01000440,0.0858778625954199,E09000004
E05011219,Bexleyheath,E01000441,0,E09000004
E05011220,Blackfen & Lamorbey,E01000339,1,E09000004
E05011220,Blackfen & Lamorbey,E01000340,1,E09000004
E05011220,Blackfen & Lamorbey,E01000341,1,E09000004
E05011220,Blackfen & Lamorbey,E01000342,1,E09000004
E05011220,Blackfen & Lamorbey,E01000343,1,E09000004
E05011220,Blackfen & Lamorbey,E01000344,1,E09000004
E05011220,Blackfen & Lamorbey,E01000345,1,E09000004
E05011220,Blackfen & Lamorbey,E01000347,0.088855421686747,E09000004
E05011220,Blackfen & Lamorbey,E01000350,0.360902255639098,E09000004
E05011220,Blackfen & Lamorbey,E01000352,0,E09000004
E05011220,Blackfen & Lamorbey,E01000412,0.0914634146341463,E09000004
E05011220,Blackfen & Lamorbey,E01000413,0.911439114391144,E09000004
