lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is deprived in four dimensions,43,102,-59
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is deprived in one dimension,2519,2505,14
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is deprived in three dimensions,531,771,-240
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is deprived in two dimensions,1379,1681,-302
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is not deprived in any dimension,2898,2064,834
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is deprived in four dimensions,34,55,-21
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is deprived in one dimension,2974,2351,623
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is deprived in three dimensions,366,309,57
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is deprived in two dimensions,929,913,16
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is not deprived in any dimension,5391,2789,2602
E09000030,Tower Hamlets,E05009319,Bow East,Household is deprived in four dimensions,39,76,-37
E09000030,Tower Hamlets,E05009319,Bow East,Household is deprived in one dimension,2426,2521,-95
E09000030,Tower Hamlets,E05009319,Bow East,Household is deprived in three dimensions,450,549,-99
E09000030,Tower Hamlets,E05009319,Bow East,Household is deprived in two dimensions,1280,1420,-140
E09000030,Tower Hamlets,E05009319,Bow East,Household is not deprived in any dimension,4234,2029,2205
E09000030,Tower Hamlets,E05009320,Bow West,Household is deprived in four dimensions,26,63,-37
E09000030,Tower Hamlets,E05009320,Bow West,Household is deprived in one dimension,1707,1625,82
E09000030,Tower Hamlets,E05009320,Bow West,Household is deprived in three dimensions,284,435,-151
E09000030,Tower Hamlets,E05009320,Bow West,Household is deprived in two dimensions,876,1022,-146
E09000030,Tower Hamlets,E05009320,Bow West,Household is not deprived in any dimension,2387,1864,523
E09000030,Tower Hamlets,E05009321,Bromley North,Household is deprived in four dimensions,34,66,-32
E09000030,Tower Hamlets,E05009321,Bromley North,Household is deprived in one dimension,1458,1239,219
E09000030,Tower Hamlets,E05009321,Bromley North,Household is deprived in three dimensions,332,400,-68
E09000030,Tower Hamlets,E05009321,Bromley North,Household is deprived in two dimensions,813,835,-22
E09000030,Tower Hamlets,E05009321,Bromley North,Household is not deprived in any dimension,1784,966,818
E09000030,Tower Hamlets,E05009322,Bromley South,Household is deprived in four dimensions,21,59,-38
E09000030,Tower Hamlets,E05009322,Bromley South,Household is deprived in one dimension,1673,1112,561
E09000030,Tower Hamlets,E05009322,Bromley South,Household is deprived in three dimensions,365,414,-49
E09000030,Tower Hamlets,E05009322,Bromley South,Household is deprived in two dimensions,895,733,162
E09000030,Tower Hamlets,E05009322,Bromley South,Household is not deprived in any dimension,2185,735,1450
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is deprived in four dimensions,21,46,-25
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is deprived in one dimension,2462,2594,-132
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is deprived in three dimensions,294,305,-11
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is deprived in two dimensions,781,916,-135
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is not deprived in any dimension,4957,2435,2522
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is deprived in four dimensions,10,45,-35
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is deprived in one dimension,1897,1964,-67
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is deprived in three dimensions,229,337,-108
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is deprived in two dimensions,813,834,-21
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is not deprived in any dimension,3023,2699,324
E09000030,Tower Hamlets,E05009325,Lansbury,Household is deprived in four dimensions,26,114,-88
E09000030,Tower Hamlets,E05009325,Lansbury,Household is deprived in one dimension,2470,1811,659
E09000030,Tower Hamlets,E05009325,Lansbury,Household is deprived in three dimensions,588,723,-135
E09000030,Tower Hamlets,E05009325,Lansbury,Household is deprived in two dimensions,1440,1521,-81
E09000030,Tower Hamlets,E05009325,Lansbury,Household is not deprived in any dimension,3009,1130,1879
E09000030,Tower Hamlets,E05009326,Limehouse,Household is deprived in four dimensions,7,35,-28
E09000030,Tower Hamlets,E05009326,Limehouse,Household is deprived in one dimension,849,952,-103
E09000030,Tower Hamlets,E05009326,Limehouse,Household is deprived in three dimensions,110,164,-54
E09000030,Tower Hamlets,E05009326,Limehouse,Household is deprived in two dimensions,304,364,-60
E09000030,Tower Hamlets,E05009326,Limehouse,Household is not deprived in any dimension,1725,1466,259
E09000030,Tower Hamlets,E05009327,Mile End,Household is deprived in four dimensions,30,105,-75
E09000030,Tower Hamlets,E05009327,Mile End,Household is deprived in one dimension,2545,2085,460
E09000030,Tower Hamlets,E05009327,Mile End,Household is deprived in three dimensions,502,676,-174
E09000030,Tower Hamlets,E05009327,Mile End,Household is deprived in two dimensions,1410,1504,-94
E09000030,Tower Hamlets,E05009327,Mile End,Household is not deprived in any dimension,3374,1429,1945
E09000030,Tower Hamlets,E05009328,Poplar,Household is deprived in four dimensions,17,62,-45
E09000030,Tower Hamlets,E05009328,Poplar,Household is deprived in one dimension,987,967,20
E09000030,Tower Hamlets,E05009328,Poplar,Household is deprived in three dimensions,208,298,-90
E09000030,Tower Hamlets,E05009328,Poplar,Household is deprived in two dimensions,528,619,-91
E09000030,Tower Hamlets,E05009328,Poplar,Household is not deprived in any dimension,1085,604,481
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is deprived in four dimensions,20,80,-60
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is deprived in one dimension,1524,1338,186
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is deprived in three dimensions,400,502,-102
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is deprived in two dimensions,912,1014,-102
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is not deprived in any dimension,1762,950,812
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is deprived in four dimensions,7,35,-28
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is deprived in one dimension,1622,1780,-158
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is deprived in three dimensions,141,193,-52
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is deprived in two dimensions,504,541,-37
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is not deprived in any dimension,3527,2818,709
E09000030,Tower Hamlets,E05009331,St Peter's,Household is deprived in four dimensions,48,113,-65
E09000030,Tower Hamlets,E05009331,St Peter's,Household is deprived in one dimension,2397,2529,-132
E09000030,Tower Hamlets,E05009331,St Peter's,Household is deprived in three dimensions,567,766,-199
E09000030,Tower Hamlets,E05009331,St Peter's,Household is deprived in two dimensions,1276,1630,-354
E09000030,Tower Hamlets,E05009331,St Peter's,Household is not deprived in any dimension,3210,2198,1012
E09000030,Tower Hamlets,E05009332,Shadwell,Household is deprived in four dimensions,26,104,-78
E09000030,Tower Hamlets,E05009332,Shadwell,Household is deprived in one dimension,1556,1602,-46
E09000030,Tower Hamlets,E05009332,Shadwell,Household is deprived in three dimensions,379,566,-187
E09000030,Tower Hamlets,E05009332,Shadwell,Household is deprived in two dimensions,921,1185,-264
E09000030,Tower Hamlets,E05009332,Shadwell,Household is not deprived in any dimension,1502,910,592
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is deprived in four dimensions,23,94,-71
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is deprived in one dimension,1571,1720,-149
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is deprived in three dimensions,319,454,-135
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is deprived in two dimensions,789,937,-148
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is not deprived in any dimension,2312,1570,742
E09000030,Tower Hamlets,E05009334,Stepney Green,Household is deprived in four dimensions,20,78,-58
E09000030,Tower Hamlets,E05009334,Stepney Green,Household is deprived in one dimension,1574,1442,132
E09000030,Tower Hamlets,E05009334,Stepney Green,Household is deprived in three dimensions,342,545,-203
E09000030,Tower Hamlets,E05009334,Stepney Green,Household is deprived in two dimensions,1007,1101,-94
E09000030,Tower Hamlets,E05009334,Stepney Green,Household is not deprived in any dimension,1416,986,430
E09000030,Tower Hamlets,E05009335,Weavers,Household is deprived in four dimensions,37,97,-60
E09000030,Tower Hamlets,E05009335,Weavers,Household is deprived in one dimension,1688,1824,-136
E09000030,Tower Hamlets,E05009335,Weavers,Household is deprived in three dimensions,354,564,-210
E09000030,Tower Hamlets,E05009335,Weavers,Household is deprived in two dimensions,882,1155,-273
E09000030,Tower Hamlets,E05009335,Weavers,Household is not deprived in any dimension,2478,1713,765
E09000030,Tower Hamlets,E05009336,Whitechapel,Household is deprived in four dimensions,35,65,-30
E09000030,Tower Hamlets,E05009336,Whitechapel,Household is deprived in one dimension,2432,2238,194
E09000030,Tower Hamlets,E05009336,Whitechapel,Household is deprived in three dimensions,291,460,-169
E09000030,Tower Hamlets,E05009336,Whitechapel,Household is deprived in two dimensions,946,1062,-116
E09000030,Tower Hamlets,E05009336,Whitechapel,Household is not deprived in any dimension,3672,1791,1881
E09000012,Hackney,E05009367,Brownswood,Household is deprived in four dimensions,15,39,-24
E09000012,Hackney,E05009367,Brownswood,Household is deprived in one dimension,1353,1322,31
E09000012,Hackney,E05009367,Brownswood,Household is deprived in three dimensions,174,230,-56
E09000012,Hackney,E05009367,Brownswood,Household is deprived in two dimensions,553,561,-8
E09000012,Hackney,E05009367,Brownswood,Household is not deprived in any dimension,1990,1495,495
E09000012,Hackney,E05009368,Cazenove,Household is deprived in four dimensions,34,72,-38
E09000012,Hackney,E05009368,Cazenove,Household is deprived in one dimension,1884,1909,-25
E09000012,Hackney,E05009368,Cazenove,Household is deprived in three dimensions,367,410,-43
E09000012,Hackney,E05009368,Cazenove,Household is deprived in two dimensions,848,1135,-287
E09000012,Hackney,E05009368,Cazenove,Household is not deprived in any dimension,2024,1565,459
E09000012,Hackney,E05009369,Clissold,Household is deprived in four dimensions,30,77,-47
E09000012,Hackney,E05009369,Clissold,Household is deprived in one dimension,1630,1807,-177
E09000012,Hackney,E05009369,Clissold,Household is deprived in three dimensions,227,403,-176
E09000012,Hackney,E05009369,Clissold,Household is deprived in two dimensions,714,983,-269
E09000012,Hackney,E05009369,Clissold,Household is not deprived in any dimension,2827,2305,522
E09000012,Hackney,E05009370,Dalston,Household is deprived in four dimensions,21,41,-20
E09000012,Hackney,E05009370,Dalston,Household is deprived in one dimension,1168,1346,-178
E09000012,Hackney,E05009370,Dalston,Household is deprived in three dimensions,172,222,-50
E09000012,Hackney,E05009370,Dalston,Household is deprived in two dimensions,464,607,-143
E09000012,Hackney,E05009370,Dalston,Household is not deprived in any dimension,2235,1238,997
E09000012,Hackney,E05009371,De Beauvoir,Household is deprived in four dimensions,20,52,-32
E09000012,Hackney,E05009371,De Beauvoir,Household is deprived in one dimension,1228,1316,-88
E09000012,Hackney,E05009371,De Beauvoir,Household is deprived in three dimensions,174,245,-71
E09000012,Hackney,E05009371,De Beauvoir,Household is deprived in two dimensions,515,620,-105
E09000012,Hackney,E05009371,De Beauvoir,Household is not deprived in any dimension,2056,1459,597
E09000012,Hackney,E05009372,Hackney Central,Household is deprived in four dimensions,34,96,-62
E09000012,Hackney,E05009372,Hackney Central,Household is deprived in one dimension,1844,1870,-26
E09000012,Hackney,E05009372,Hackney Central,Household is deprived in three dimensions,412,540,-128
E09000012,Hackney,E05009372,Hackney Central,Household is deprived in two dimensions,962,1281,-319
E09000012,Hackney,E05009372,Hackney Central,Household is not deprived in any dimension,2512,1632,880
E09000012,Hackney,E05009373,Hackney Downs,Household is deprived in four dimensions,35,99,-64
E09000012,Hackney,E05009373,Hackney Downs,Household is deprived in one dimension,1757,1815,-58
E09000012,Hackney,E05009373,Hackney Downs,Household is deprived in three dimensions,333,558,-225
E09000012,Hackney,E05009373,Hackney Downs,Household is deprived in two dimensions,940,1245,-305
E09000012,Hackney,E05009373,Hackney Downs,Household is not deprived in any dimension,2304,1720,584
E09000012,Hackney,E05009374,Hackney Wick,Household is deprived in four dimensions,40,86,-46
E09000012,Hackney,E05009374,Hackney Wick,Household is deprived in one dimension,1643,1635,8
E09000012,Hackney,E05009374,Hackney Wick,Household is deprived in three dimensions,363,493,-130
E09000012,Hackney,E05009374,Hackney Wick,Household is deprived in two dimensions,966,1204,-238
E09000012,Hackney,E05009374,Hackney Wick,Household is not deprived in any dimension,1975,1407,568
E09000012,Hackney,E05009375,Haggerston,Household is deprived in four dimensions,41,108,-67
E09000012,Hackney,E05009375,Haggerston,Household is deprived in one dimension,1915,2125,-210
E09000012,Hackney,E05009375,Haggerston,Household is deprived in three dimensions,372,604,-232
E09000012,Hackney,E05009375,Haggerston,Household is deprived in two dimensions,1047,1303,-256
E09000012,Hackney,E05009375,Haggerston,Household is not deprived in any dimension,2895,1449,1446
E09000012,Hackney,E05009376,Homerton,Household is deprived in four dimensions,27,98,-71
E09000012,Hackney,E05009376,Homerton,Household is deprived in one dimension,1809,1814,-5
E09000012,Hackney,E05009376,Homerton,Household is deprived in three dimensions,366,577,-211
E09000012,Hackney,E05009376,Homerton,Household is deprived in two dimensions,945,1246,-301
E09000012,Hackney,E05009376,Homerton,Household is not deprived in any dimension,2071,1303,768
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Household is deprived in four dimensions,23,57,-34
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Household is deprived in one dimension,1706,2243,-537
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Household is deprived in three dimensions,244,417,-173
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Household is deprived in two dimensions,728,1039,-311
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Household is not deprived in any dimension,2836,1569,1267
E09000012,Hackney,E05009378,Hoxton West,Household is deprived in four dimensions,31,88,-57
E09000012,Hackney,E05009378,Hoxton West,Household is deprived in one dimension,1952,2239,-287
E09000012,Hackney,E05009378,Hoxton West,Household is deprived in three dimensions,327,494,-167
E09000012,Hackney,E05009378,Hoxton West,Household is deprived in two dimensions,859,1283,-424
E09000012,Hackney,E05009378,Hoxton West,Household is not deprived in any dimension,3133,1578,1555
E09000012,Hackney,E05009379,King's Park,Household is deprived in four dimensions,30,63,-33
E09000012,Hackney,E05009379,King's Park,Household is deprived in one dimension,1703,1553,150
E09000012,Hackney,E05009379,King's Park,Household is deprived in three dimensions,367,553,-186
E09000012,Hackney,E05009379,King's Park,Household is deprived in two dimensions,951,1292,-341
E09000012,Hackney,E05009379,King's Park,Household is not deprived in any dimension,1992,1372,620
E09000012,Hackney,E05009380,Lea Bridge,Household is deprived in four dimensions,23,72,-49
E09000012,Hackney,E05009380,Lea Bridge,Household is deprived in one dimension,1810,1917,-107
E09000012,Hackney,E05009380,Lea Bridge,Household is deprived in three dimensions,331,525,-194
E09000012,Hackney,E05009380,Lea Bridge,Household is deprived in two dimensions,926,1348,-422
E09000012,Hackney,E05009380,Lea Bridge,Household is not deprived in any dimension,2396,1681,715
E09000012,Hackney,E05009381,London Fields,Household is deprived in four dimensions,28,91,-63
E09000012,Hackney,E05009381,London Fields,Household is deprived in one dimension,1622,1871,-249
E09000012,Hackney,E05009381,London Fields,Household is deprived in three dimensions,328,491,-163
E09000012,Hackney,E05009381,London Fields,Household is deprived in two dimensions,893,1082,-189
E09000012,Hackney,E05009381,London Fields,Household is not deprived in any dimension,2553,1733,820
E09000012,Hackney,E05009382,Shacklewell,Household is deprived in four dimensions,19,54,-35
E09000012,Hackney,E05009382,Shacklewell,Household is deprived in one dimension,1176,1297,-121
E09000012,Hackney,E05009382,Shacklewell,Household is deprived in three dimensions,222,323,-101
E09000012,Hackney,E05009382,Shacklewell,Household is deprived in two dimensions,603,754,-151
E09000012,Hackney,E05009382,Shacklewell,Household is not deprived in any dimension,1617,1180,437
E09000012,Hackney,E05009383,Springfield,Household is deprived in four dimensions,59,104,-45
E09000012,Hackney,E05009383,Springfield,Household is deprived in one dimension,2042,1990,52
E09000012,Hackney,E05009383,Springfield,Household is deprived in three dimensions,402,584,-182
E09000012,Hackney,E05009383,Springfield,Household is deprived in two dimensions,1028,1484,-456
E09000012,Hackney,E05009383,Springfield,Household is not deprived in any dimension,1692,1325,367
E09000012,Hackney,E05009384,Stamford Hill West,Household is deprived in four dimensions,23,40,-17
E09000012,Hackney,E05009384,Stamford Hill West,Household is deprived in one dimension,1225,1219,6
E09000012,Hackney,E05009384,Stamford Hill West,Household is deprived in three dimensions,180,310,-130
E09000012,Hackney,E05009384,Stamford Hill West,Household is deprived in two dimensions,550,796,-246
E09000012,Hackney,E05009384,Stamford Hill West,Household is not deprived in any dimension,1288,1048,240
E09000012,Hackney,E05009385,Stoke Newington,Household is deprived in four dimensions,25,73,-48
E09000012,Hackney,E05009385,Stoke Newington,Household is deprived in one dimension,1691,1946,-255
E09000012,Hackney,E05009385,Stoke Newington,Household is deprived in three dimensions,289,413,-124
E09000012,Hackney,E05009385,Stoke Newington,Household is deprived in two dimensions,826,1100,-274
E09000012,Hackney,E05009385,Stoke Newington,Household is not deprived in any dimension,2823,2280,543
E09000012,Hackney,E05009386,Victoria,Household is deprived in four dimensions,19,71,-52
E09000012,Hackney,E05009386,Victoria,Household is deprived in one dimension,1696,1760,-64
E09000012,Hackney,E05009386,Victoria,Household is deprived in three dimensions,362,493,-131
E09000012,Hackney,E05009386,Victoria,Household is deprived in two dimensions,831,1126,-295
E09000012,Hackney,E05009386,Victoria,Household is not deprived in any dimension,2305,1817,488
E09000012,Hackney,E05009387,Woodberry Down,Household is deprived in four dimensions,22,80,-58
E09000012,Hackney,E05009387,Woodberry Down,Household is deprived in one dimension,1639,1318,321
E09000012,Hackney,E05009387,Woodberry Down,Household is deprived in three dimensions,306,421,-115
E09000012,Hackney,E05009387,Woodberry Down,Household is deprived in two dimensions,861,1023,-162
E09000012,Hackney,E05009387,Woodberry Down,Household is not deprived in any dimension,2162,837,1325
E09000020,Kensington and Chelsea,E05009388,Abingdon,Household is deprived in four dimensions,16,41,-25
E09000020,Kensington and Chelsea,E05009388,Abingdon,Household is deprived in one dimension,1171,1589,-418
E09000020,Kensington and Chelsea,E05009388,Abingdon,Household is deprived in three dimensions,106,187,-81
E09000020,Kensington and Chelsea,E05009388,Abingdon,Household is deprived in two dimensions,324,617,-293
E09000020,Kensington and Chelsea,E05009388,Abingdon,Household is not deprived in any dimension,2276,2235,41
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Household is deprived in four dimensions,21,17,4
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Household is deprived in one dimension,1231,2211,-980
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Household is deprived in three dimensions,111,125,-14
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Household is deprived in two dimensions,355,696,-341
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Household is not deprived in any dimension,2453,2725,-272
E09000020,Kensington and Chelsea,E05009390,Campden,Household is deprived in four dimensions,5,18,-13
E09000020,Kensington and Chelsea,E05009390,Campden,Household is deprived in one dimension,1031,1390,-359
E09000020,Kensington and Chelsea,E05009390,Campden,Household is deprived in three dimensions,56,113,-57
E09000020,Kensington and Chelsea,E05009390,Campden,Household is deprived in two dimensions,249,410,-161
E09000020,Kensington and Chelsea,E05009390,Campden,Household is not deprived in any dimension,2484,2501,-17
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Household is deprived in four dimensions,38,61,-23
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Household is deprived in one dimension,1197,1434,-237
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Household is deprived in three dimensions,223,352,-129
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Household is deprived in two dimensions,604,871,-267
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Household is not deprived in any dimension,1624,1615,9
E09000020,Kensington and Chelsea,E05009392,Colville,Household is deprived in four dimensions,43,62,-19
E09000020,Kensington and Chelsea,E05009392,Colville,Household is deprived in one dimension,1343,1760,-417
E09000020,Kensington and Chelsea,E05009392,Colville,Household is deprived in three dimensions,239,350,-111
E09000020,Kensington and Chelsea,E05009392,Colville,Household is deprived in two dimensions,753,902,-149
E09000020,Kensington and Chelsea,E05009392,Colville,Household is not deprived in any dimension,1964,1901,63
E09000020,Kensington and Chelsea,E05009393,Courtfield,Household is deprived in four dimensions,25,37,-12
E09000020,Kensington and Chelsea,E05009393,Courtfield,Household is deprived in one dimension,1198,1973,-775
E09000020,Kensington and Chelsea,E05009393,Courtfield,Household is deprived in three dimensions,104,152,-48
E09000020,Kensington and Chelsea,E05009393,Courtfield,Household is deprived in two dimensions,305,500,-195
E09000020,Kensington and Chelsea,E05009393,Courtfield,Household is not deprived in any dimension,2488,2464,24
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Household is deprived in four dimensions,22,40,-18
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Household is deprived in one dimension,945,976,-31
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Household is deprived in three dimensions,229,358,-129
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Household is deprived in two dimensions,613,738,-125
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Household is not deprived in any dimension,914,776,138
E09000020,Kensington and Chelsea,E05009395,Earl's Court,Household is deprived in four dimensions,41,99,-58
E09000020,Kensington and Chelsea,E05009395,Earl's Court,Household is deprived in one dimension,1539,2012,-473
E09000020,Kensington and Chelsea,E05009395,Earl's Court,Household is deprived in three dimensions,217,390,-173
E09000020,Kensington and Chelsea,E05009395,Earl's Court,Household is deprived in two dimensions,579,911,-332
E09000020,Kensington and Chelsea,E05009395,Earl's Court,Household is not deprived in any dimension,2291,1923,368
E09000020,Kensington and Chelsea,E05009396,Golborne,Household is deprived in four dimensions,44,104,-60
E09000020,Kensington and Chelsea,E05009396,Golborne,Household is deprived in one dimension,1324,1405,-81
E09000020,Kensington and Chelsea,E05009396,Golborne,Household is deprived in three dimensions,362,520,-158
E09000020,Kensington and Chelsea,E05009396,Golborne,Household is deprived in two dimensions,814,1077,-263
E09000020,Kensington and Chelsea,E05009396,Golborne,Household is not deprived in any dimension,1294,886,408
E09000020,Kensington and Chelsea,E05009397,Holland,Household is deprived in four dimensions,20,42,-22
E09000020,Kensington and Chelsea,E05009397,Holland,Household is deprived in one dimension,1154,1367,-213
E09000020,Kensington and Chelsea,E05009397,Holland,Household is deprived in three dimensions,133,184,-51
E09000020,Kensington and Chelsea,E05009397,Holland,Household is deprived in two dimensions,423,558,-135
E09000020,Kensington and Chelsea,E05009397,Holland,Household is not deprived in any dimension,2189,2033,156
E09000020,Kensington and Chelsea,E05009398,Norland,Household is deprived in four dimensions,17,26,-9
E09000020,Kensington and Chelsea,E05009398,Norland,Household is deprived in one dimension,685,921,-236
E09000020,Kensington and Chelsea,E05009398,Norland,Household is deprived in three dimensions,70,132,-62
E09000020,Kensington and Chelsea,E05009398,Norland,Household is deprived in two dimensions,266,371,-105
E09000020,Kensington and Chelsea,E05009398,Norland,Household is not deprived in any dimension,1540,1399,141
E09000020,Kensington and Chelsea,E05009399,Notting Dale,Household is deprived in four dimensions,41,79,-38
E09000020,Kensington and Chelsea,E05009399,Notting Dale,Household is deprived in one dimension,1245,1285,-40
E09000020,Kensington and Chelsea,E05009399,Notting Dale,Household is deprived in three dimensions,427,497,-70
E09000020,Kensington and Chelsea,E05009399,Notting Dale,Household is deprived in two dimensions,814,1079,-265
E09000020,Kensington and Chelsea,E05009399,Notting Dale,Household is not deprived in any dimension,1227,979,248
E09000020,Kensington and Chelsea,E05009400,Pembridge,Household is deprived in four dimensions,6,19,-13
E09000020,Kensington and Chelsea,E05009400,Pembridge,Household is deprived in one dimension,810,1244,-434
E09000020,Kensington and Chelsea,E05009400,Pembridge,Household is deprived in three dimensions,42,93,-51
E09000020,Kensington and Chelsea,E05009400,Pembridge,Household is deprived in two dimensions,240,424,-184
E09000020,Kensington and Chelsea,E05009400,Pembridge,Household is not deprived in any dimension,1569,1413,156
E09000020,Kensington and Chelsea,E05009401,Queen's Gate,Household is deprived in four dimensions,1,16,-15
E09000020,Kensington and Chelsea,E05009401,Queen's Gate,Household is deprived in one dimension,1036,1756,-720
E09000020,Kensington and Chelsea,E05009401,Queen's Gate,Household is deprived in three dimensions,46,91,-45
E09000020,Kensington and Chelsea,E05009401,Queen's Gate,Household is deprived in two dimensions,208,397,-189
E09000020,Kensington and Chelsea,E05009401,Queen's Gate,Household is not deprived in any dimension,2281,2510,-229
E09000020,Kensington and Chelsea,E05009402,Redcliffe,Household is deprived in four dimensions,33,29,4
E09000020,Kensington and Chelsea,E05009402,Redcliffe,Household is deprived in one dimension,1252,1635,-383
E09000020,Kensington and Chelsea,E05009402,Redcliffe,Household is deprived in three dimensions,126,180,-54
E09000020,Kensington and Chelsea,E05009402,Redcliffe,Household is deprived in two dimensions,350,485,-135
E09000020,Kensington and Chelsea,E05009402,Redcliffe,Household is not deprived in any dimension,2637,2623,14
E09000020,Kensington and Chelsea,E05009403,Royal Hospital,Household is deprived in four dimensions,14,30,-16
E09000020,Kensington and Chelsea,E05009403,Royal Hospital,Household is deprived in one dimension,1082,1605,-523
E09000020,Kensington and Chelsea,E05009403,Royal Hospital,Household is deprived in three dimensions,100,157,-57
E09000020,Kensington and Chelsea,E05009403,Royal Hospital,Household is deprived in two dimensions,329,575,-246
E09000020,Kensington and Chelsea,E05009403,Royal Hospital,Household is not deprived in any dimension,2386,2669,-283
E09000020,Kensington and Chelsea,E05009404,St Helen's,Household is deprived in four dimensions,30,60,-30
E09000020,Kensington and Chelsea,E05009404,St Helen's,Household is deprived in one dimension,857,1005,-148
E09000020,Kensington and Chelsea,E05009404,St Helen's,Household is deprived in three dimensions,192,246,-54
E09000020,Kensington and Chelsea,E05009404,St Helen's,Household is deprived in two dimensions,440,615,-175
E09000020,Kensington and Chelsea,E05009404,St Helen's,Household is not deprived in any dimension,1287,1158,129
E09000020,Kensington and Chelsea,E05009405,Stanley,Household is deprived in four dimensions,20,43,-23
E09000020,Kensington and Chelsea,E05009405,Stanley,Household is deprived in one dimension,1145,1594,-449
E09000020,Kensington and Chelsea,E05009405,Stanley,Household is deprived in three dimensions,145,238,-93
E09000020,Kensington and Chelsea,E05009405,Stanley,Household is deprived in two dimensions,457,682,-225
E09000020,Kensington and Chelsea,E05009405,Stanley,Household is not deprived in any dimension,2278,2467,-189
E09000028,Southwark,E05011095,Borough & Bankside,Household is deprived in four dimensions,8,33,-25
E09000028,Southwark,E05011095,Borough & Bankside,Household is deprived in one dimension,1232,1511,-279
E09000028,Southwark,E05011095,Borough & Bankside,Household is deprived in three dimensions,148,255,-107
E09000028,Southwark,E05011095,Borough & Bankside,Household is deprived in two dimensions,496,651,-155
E09000028,Southwark,E05011095,Borough & Bankside,Household is not deprived in any dimension,2364,1343,1021
E09000028,Southwark,E05011096,Camberwell Green,Household is deprived in four dimensions,19,66,-47
E09000028,Southwark,E05011096,Camberwell Green,Household is deprived in one dimension,2345,2090,255
E09000028,Southwark,E05011096,Camberwell Green,Household is deprived in three dimensions,346,532,-186
E09000028,Southwark,E05011096,Camberwell Green,Household is deprived in two dimensions,1158,1409,-251
E09000028,Southwark,E05011096,Camberwell Green,Household is not deprived in any dimension,2816,1567,1249
E09000028,Southwark,E05011097,Champion Hill,Household is deprived in four dimensions,11,31,-20
E09000028,Southwark,E05011097,Champion Hill,Household is deprived in one dimension,1213,1285,-72
