lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Electric (including storage heaters) central heating,1452,1286,166
E09000030,Tower Hamlets,E05009317,Bethnal Green,Gas central heating,4572,4985,-413
E09000030,Tower Hamlets,E05009317,Bethnal Green,No central heating,229,247,-18
E09000030,Tower Hamlets,E05009317,Bethnal Green,Oil central heating,7,9,-2
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other central heating,496,199,297
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000030,Tower Hamlets,E05009317,Bethnal Green,Two or more types of central heating,603,397,206
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Electric (including storage heaters) central heating,3717,2326,1391
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Gas central heating,3277,3235,42
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,No central heating,329,254,75
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Oil central heating,31,24,7
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Other central heating,1518,312,1206
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Solid fuel (for example wood, coal) central heating",9,6,3
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Two or more types of central heating,813,261,552
E09000030,Tower Hamlets,E05009319,Bow East,Electric (including storage heaters) central heating,2673,2116,557
E09000030,Tower Hamlets,E05009319,Bow East,Gas central heating,3956,3804,152
E09000030,Tower Hamlets,E05009319,Bow East,No central heating,261,216,45
E09000030,Tower Hamlets,E05009319,Bow East,Oil central heating,4,5,-1
E09000030,Tower Hamlets,E05009319,Bow East,Other central heating,850,184,666
E09000030,Tower Hamlets,E05009319,Bow East,"Solid fuel (for example wood, coal) central heating",4,4,0
E09000030,Tower Hamlets,E05009319,Bow East,Two or more types of central heating,662,266,396
E09000030,Tower Hamlets,E05009320,Bow West,Electric (including storage heaters) central heating,621,518,103
E09000030,Tower Hamlets,E05009320,Bow West,Gas central heating,3653,3807,-154
E09000030,Tower Hamlets,E05009320,Bow West,No central heating,109,120,-11
E09000030,Tower Hamlets,E05009320,Bow West,Oil central heating,9,36,-27
E09000030,Tower Hamlets,E05009320,Bow West,Other central heating,399,275,124
E09000030,Tower Hamlets,E05009320,Bow West,"Solid fuel (for example wood, coal) central heating",1,3,-2
E09000030,Tower Hamlets,E05009320,Bow West,Two or more types of central heating,498,250,248
E09000030,Tower Hamlets,E05009321,Bromley North,Electric (including storage heaters) central heating,1135,777,358
E09000030,Tower Hamlets,E05009321,Bromley North,Gas central heating,2160,2252,-92
E09000030,Tower Hamlets,E05009321,Bromley North,No central heating,120,69,51
E09000030,Tower Hamlets,E05009321,Bromley North,Oil central heating,10,14,-4
E09000030,Tower Hamlets,E05009321,Bromley North,Other central heating,610,209,401
E09000030,Tower Hamlets,E05009321,Bromley North,"Solid fuel (for example wood, coal) central heating",10,3,7
E09000030,Tower Hamlets,E05009321,Bromley North,Two or more types of central heating,374,182,192
E09000030,Tower Hamlets,E05009322,Bromley South,Electric (including storage heaters) central heating,1440,464,976
E09000030,Tower Hamlets,E05009322,Bromley South,Gas central heating,2043,1964,79
E09000030,Tower Hamlets,E05009322,Bromley South,No central heating,111,49,62
E09000030,Tower Hamlets,E05009322,Bromley South,Oil central heating,5,23,-18
E09000030,Tower Hamlets,E05009322,Bromley South,Other central heating,1028,318,710
E09000030,Tower Hamlets,E05009322,Bromley South,"Solid fuel (for example wood, coal) central heating",4,2,2
E09000030,Tower Hamlets,E05009322,Bromley South,Two or more types of central heating,498,233,265
E09000030,Tower Hamlets,E05009323,Canary Wharf,Electric (including storage heaters) central heating,3925,2706,1219
E09000030,Tower Hamlets,E05009323,Canary Wharf,Gas central heating,2118,2207,-89
E09000030,Tower Hamlets,E05009323,Canary Wharf,No central heating,335,187,148
E09000030,Tower Hamlets,E05009323,Canary Wharf,Oil central heating,14,111,-97
E09000030,Tower Hamlets,E05009323,Canary Wharf,Other central heating,1514,837,677
E09000030,Tower Hamlets,E05009323,Canary Wharf,"Solid fuel (for example wood, coal) central heating",3,1,2
E09000030,Tower Hamlets,E05009323,Canary Wharf,Two or more types of central heating,611,248,363
E09000030,Tower Hamlets,E05009324,Island Gardens,Electric (including storage heaters) central heating,2098,2153,-55
E09000030,Tower Hamlets,E05009324,Island Gardens,Gas central heating,2807,2936,-129
E09000030,Tower Hamlets,E05009324,Island Gardens,No central heating,246,292,-46
E09000030,Tower Hamlets,E05009324,Island Gardens,Oil central heating,13,33,-20
E09000030,Tower Hamlets,E05009324,Island Gardens,Other central heating,402,236,166
E09000030,Tower Hamlets,E05009324,Island Gardens,"Solid fuel (for example wood, coal) central heating",2,2,0
E09000030,Tower Hamlets,E05009324,Island Gardens,Two or more types of central heating,414,227,187
E09000030,Tower Hamlets,E05009325,Lansbury,Electric (including storage heaters) central heating,1786,550,1236
E09000030,Tower Hamlets,E05009325,Lansbury,Gas central heating,3805,3898,-93
E09000030,Tower Hamlets,E05009325,Lansbury,No central heating,175,110,65
E09000030,Tower Hamlets,E05009325,Lansbury,Oil central heating,22,87,-65
E09000030,Tower Hamlets,E05009325,Lansbury,Other central heating,1036,257,779
E09000030,Tower Hamlets,E05009325,Lansbury,"Solid fuel (for example wood, coal) central heating",3,2,1
E09000030,Tower Hamlets,E05009325,Lansbury,Two or more types of central heating,721,396,325
E09000030,Tower Hamlets,E05009326,Limehouse,Electric (including storage heaters) central heating,1218,1205,13
E09000030,Tower Hamlets,E05009326,Limehouse,Gas central heating,1238,1440,-202
E09000030,Tower Hamlets,E05009326,Limehouse,No central heating,136,138,-2
E09000030,Tower Hamlets,E05009326,Limehouse,Oil central heating,8,5,3
E09000030,Tower Hamlets,E05009326,Limehouse,Other central heating,178,89,89
E09000030,Tower Hamlets,E05009326,Limehouse,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000030,Tower Hamlets,E05009326,Limehouse,Two or more types of central heating,218,104,114
E09000030,Tower Hamlets,E05009327,Mile End,Electric (including storage heaters) central heating,1652,782,870
E09000030,Tower Hamlets,E05009327,Mile End,Gas central heating,4301,4080,221
E09000030,Tower Hamlets,E05009327,Mile End,No central heating,175,84,91
E09000030,Tower Hamlets,E05009327,Mile End,Oil central heating,13,15,-2
E09000030,Tower Hamlets,E05009327,Mile End,Other central heating,967,442,525
E09000030,Tower Hamlets,E05009327,Mile End,"Solid fuel (for example wood, coal) central heating",7,6,1
E09000030,Tower Hamlets,E05009327,Mile End,Two or more types of central heating,726,390,336
E09000030,Tower Hamlets,E05009328,Poplar,Electric (including storage heaters) central heating,699,421,278
E09000030,Tower Hamlets,E05009328,Poplar,Gas central heating,1533,1771,-238
E09000030,Tower Hamlets,E05009328,Poplar,No central heating,74,49,25
E09000030,Tower Hamlets,E05009328,Poplar,Oil central heating,3,7,-4
E09000030,Tower Hamlets,E05009328,Poplar,Other central heating,261,142,119
E09000030,Tower Hamlets,E05009328,Poplar,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000030,Tower Hamlets,E05009328,Poplar,Two or more types of central heating,253,160,93
E09000030,Tower Hamlets,E05009329,St Dunstan's,Electric (including storage heaters) central heating,1238,966,272
E09000030,Tower Hamlets,E05009329,St Dunstan's,Gas central heating,2311,2361,-50
E09000030,Tower Hamlets,E05009329,St Dunstan's,No central heating,91,73,18
E09000030,Tower Hamlets,E05009329,St Dunstan's,Oil central heating,5,28,-23
E09000030,Tower Hamlets,E05009329,St Dunstan's,Other central heating,510,230,280
E09000030,Tower Hamlets,E05009329,St Dunstan's,"Solid fuel (for example wood, coal) central heating",2,3,-1
E09000030,Tower Hamlets,E05009329,St Dunstan's,Two or more types of central heating,466,221,245
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Electric (including storage heaters) central heating,2150,1744,406
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Gas central heating,2548,2942,-394
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,No central heating,220,211,9
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Oil central heating,11,42,-31
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Other central heating,517,260,257
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"Solid fuel (for example wood, coal) central heating",0,2,-2
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Two or more types of central heating,384,167,217
E09000030,Tower Hamlets,E05009331,St Peter's,Electric (including storage heaters) central heating,1512,1195,317
E09000030,Tower Hamlets,E05009331,St Peter's,Gas central heating,4356,4875,-519
E09000030,Tower Hamlets,E05009331,St Peter's,No central heating,215,216,-1
E09000030,Tower Hamlets,E05009331,St Peter's,Oil central heating,16,30,-14
E09000030,Tower Hamlets,E05009331,St Peter's,Other central heating,750,530,220
E09000030,Tower Hamlets,E05009331,St Peter's,"Solid fuel (for example wood, coal) central heating",7,2,5
E09000030,Tower Hamlets,E05009331,St Peter's,Two or more types of central heating,654,388,266
E09000030,Tower Hamlets,E05009332,Shadwell,Electric (including storage heaters) central heating,923,807,116
E09000030,Tower Hamlets,E05009332,Shadwell,Gas central heating,2438,2692,-254
E09000030,Tower Hamlets,E05009332,Shadwell,No central heating,131,108,23
E09000030,Tower Hamlets,E05009332,Shadwell,Oil central heating,11,50,-39
E09000030,Tower Hamlets,E05009332,Shadwell,Other central heating,480,416,64
E09000030,Tower Hamlets,E05009332,Shadwell,"Solid fuel (for example wood, coal) central heating",3,1,2
E09000030,Tower Hamlets,E05009332,Shadwell,Two or more types of central heating,403,293,110
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Electric (including storage heaters) central heating,1303,975,328
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Gas central heating,2761,3187,-426
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,No central heating,179,180,-1
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Oil central heating,16,14,2
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Other central heating,302,164,138
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"Solid fuel (for example wood, coal) central heating",0,2,-2
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Two or more types of central heating,443,254,189
E09000030,Tower Hamlets,E05009334,Stepney Green,Electric (including storage heaters) central heating,616,521,95
E09000030,Tower Hamlets,E05009334,Stepney Green,Gas central heating,2800,2952,-152
E09000030,Tower Hamlets,E05009334,Stepney Green,No central heating,120,103,17
E09000030,Tower Hamlets,E05009334,Stepney Green,Oil central heating,5,25,-20
E09000030,Tower Hamlets,E05009334,Stepney Green,Other central heating,389,308,81
E09000030,Tower Hamlets,E05009334,Stepney Green,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000030,Tower Hamlets,E05009334,Stepney Green,Two or more types of central heating,428,240,188
E09000030,Tower Hamlets,E05009335,Weavers,Electric (including storage heaters) central heating,1052,836,216
E09000030,Tower Hamlets,E05009335,Weavers,Gas central heating,3337,3755,-418
E09000030,Tower Hamlets,E05009335,Weavers,No central heating,151,141,10
E09000030,Tower Hamlets,E05009335,Weavers,Oil central heating,6,34,-28
E09000030,Tower Hamlets,E05009335,Weavers,Other central heating,419,305,114
E09000030,Tower Hamlets,E05009335,Weavers,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000030,Tower Hamlets,E05009335,Weavers,Two or more types of central heating,463,281,182
E09000030,Tower Hamlets,E05009336,Whitechapel,Electric (including storage heaters) central heating,2624,1719,905
E09000030,Tower Hamlets,E05009336,Whitechapel,Gas central heating,3115,3063,52
E09000030,Tower Hamlets,E05009336,Whitechapel,No central heating,294,251,43
E09000030,Tower Hamlets,E05009336,Whitechapel,Oil central heating,4,25,-21
E09000030,Tower Hamlets,E05009336,Whitechapel,Other central heating,737,273,464
E09000030,Tower Hamlets,E05009336,Whitechapel,"Solid fuel (for example wood, coal) central heating",1,3,-2
E09000030,Tower Hamlets,E05009336,Whitechapel,Two or more types of central heating,591,283,308
E09000012,Hackney,E05009367,Brownswood,Electric (including storage heaters) central heating,536,254,282
E09000012,Hackney,E05009367,Brownswood,Gas central heating,2852,2966,-114
E09000012,Hackney,E05009367,Brownswood,No central heating,104,149,-45
E09000012,Hackney,E05009367,Brownswood,Oil central heating,1,8,-7
E09000012,Hackney,E05009367,Brownswood,Other central heating,284,96,188
E09000012,Hackney,E05009367,Brownswood,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000012,Hackney,E05009367,Brownswood,Two or more types of central heating,310,174,136
E09000012,Hackney,E05009368,Cazenove,Electric (including storage heaters) central heating,448,327,121
E09000012,Hackney,E05009368,Cazenove,Gas central heating,3913,4093,-180
E09000012,Hackney,E05009368,Cazenove,No central heating,155,163,-8
E09000012,Hackney,E05009368,Cazenove,Oil central heating,5,5,0
E09000012,Hackney,E05009368,Cazenove,Other central heating,210,233,-23
E09000012,Hackney,E05009368,Cazenove,"Solid fuel (for example wood, coal) central heating",0,2,-2
E09000012,Hackney,E05009368,Cazenove,Two or more types of central heating,432,269,163
E09000012,Hackney,E05009369,Clissold,Electric (including storage heaters) central heating,463,407,56
E09000012,Hackney,E05009369,Clissold,Gas central heating,4180,4583,-403
E09000012,Hackney,E05009369,Clissold,No central heating,112,151,-39
E09000012,Hackney,E05009369,Clissold,Oil central heating,1,3,-2
E09000012,Hackney,E05009369,Clissold,Other central heating,177,167,10
E09000012,Hackney,E05009369,Clissold,"Solid fuel (for example wood, coal) central heating",0,3,-3
E09000012,Hackney,E05009369,Clissold,Two or more types of central heating,506,262,244
E09000012,Hackney,E05009370,Dalston,Electric (including storage heaters) central heating,861,547,314
E09000012,Hackney,E05009370,Dalston,Gas central heating,2282,2498,-216
E09000012,Hackney,E05009370,Dalston,No central heating,85,90,-5
E09000012,Hackney,E05009370,Dalston,Oil central heating,5,4,1
E09000012,Hackney,E05009370,Dalston,Other central heating,447,145,302
E09000012,Hackney,E05009370,Dalston,"Solid fuel (for example wood, coal) central heating",5,4,1
E09000012,Hackney,E05009370,Dalston,Two or more types of central heating,359,166,193
E09000012,Hackney,E05009371,De Beauvoir,Electric (including storage heaters) central heating,755,506,249
E09000012,Hackney,E05009371,De Beauvoir,Gas central heating,2556,2743,-187
E09000012,Hackney,E05009371,De Beauvoir,No central heating,109,146,-37
E09000012,Hackney,E05009371,De Beauvoir,Oil central heating,5,3,2
E09000012,Hackney,E05009371,De Beauvoir,Other central heating,229,107,122
E09000012,Hackney,E05009371,De Beauvoir,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000012,Hackney,E05009371,De Beauvoir,Two or more types of central heating,350,186,164
E09000012,Hackney,E05009372,Hackney Central,Electric (including storage heaters) central heating,788,462,326
E09000012,Hackney,E05009372,Hackney Central,Gas central heating,3882,4281,-399
E09000012,Hackney,E05009372,Hackney Central,No central heating,149,150,-1
E09000012,Hackney,E05009372,Hackney Central,Oil central heating,5,2,3
E09000012,Hackney,E05009372,Hackney Central,Other central heating,329,214,115
E09000012,Hackney,E05009372,Hackney Central,"Solid fuel (for example wood, coal) central heating",4,0,4
E09000012,Hackney,E05009372,Hackney Central,Two or more types of central heating,616,311,305
E09000012,Hackney,E05009373,Hackney Downs,Electric (including storage heaters) central heating,462,287,175
E09000012,Hackney,E05009373,Hackney Downs,Gas central heating,4106,4495,-389
E09000012,Hackney,E05009373,Hackney Downs,No central heating,107,142,-35
E09000012,Hackney,E05009373,Hackney Downs,Oil central heating,3,3,0
E09000012,Hackney,E05009373,Hackney Downs,Other central heating,177,197,-20
E09000012,Hackney,E05009373,Hackney Downs,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000012,Hackney,E05009373,Hackney Downs,Two or more types of central heating,501,312,189
E09000012,Hackney,E05009374,Hackney Wick,Electric (including storage heaters) central heating,563,507,56
E09000012,Hackney,E05009374,Hackney Wick,Gas central heating,3412,3695,-283
E09000012,Hackney,E05009374,Hackney Wick,No central heating,123,102,21
E09000012,Hackney,E05009374,Hackney Wick,Oil central heating,2,14,-12
E09000012,Hackney,E05009374,Hackney Wick,Other central heating,352,245,107
E09000012,Hackney,E05009374,Hackney Wick,"Solid fuel (for example wood, coal) central heating",1,4,-3
E09000012,Hackney,E05009374,Hackney Wick,Two or more types of central heating,521,259,262
E09000012,Hackney,E05009375,Haggerston,Electric (including storage heaters) central heating,1187,820,367
E09000012,Hackney,E05009375,Haggerston,Gas central heating,3471,3795,-324
E09000012,Hackney,E05009375,Haggerston,No central heating,175,161,14
E09000012,Hackney,E05009375,Haggerston,Oil central heating,16,75,-59
E09000012,Hackney,E05009375,Haggerston,Other central heating,812,384,428
E09000012,Hackney,E05009375,Haggerston,"Solid fuel (for example wood, coal) central heating",3,6,-3
E09000012,Hackney,E05009375,Haggerston,Two or more types of central heating,603,347,256
E09000012,Hackney,E05009376,Homerton,Electric (including storage heaters) central heating,722,557,165
E09000012,Hackney,E05009376,Homerton,Gas central heating,3429,3728,-299
E09000012,Hackney,E05009376,Homerton,No central heating,124,139,-15
E09000012,Hackney,E05009376,Homerton,Oil central heating,2,8,-6
E09000012,Hackney,E05009376,Homerton,Other central heating,407,272,135
E09000012,Hackney,E05009376,Homerton,"Solid fuel (for example wood, coal) central heating",1,1,0
E09000012,Hackney,E05009376,Homerton,Two or more types of central heating,529,333,196
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Electric (including storage heaters) central heating,1187,850,337
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Gas central heating,3228,3721,-493
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,No central heating,188,257,-69
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Oil central heating,8,20,-12
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Other central heating,404,172,232
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,"Solid fuel (for example wood, coal) central heating",2,1,1
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Two or more types of central heating,529,304,225
E09000012,Hackney,E05009378,Hoxton West,Electric (including storage heaters) central heating,1538,992,546
E09000012,Hackney,E05009378,Hoxton West,Gas central heating,3119,3629,-510
E09000012,Hackney,E05009378,Hoxton West,No central heating,221,218,3
E09000012,Hackney,E05009378,Hoxton West,Oil central heating,16,128,-112
E09000012,Hackney,E05009378,Hoxton West,Other central heating,833,442,391
E09000012,Hackney,E05009378,Hoxton West,"Solid fuel (for example wood, coal) central heating",2,11,-9
E09000012,Hackney,E05009378,Hoxton West,Two or more types of central heating,572,263,309
E09000012,Hackney,E05009379,King's Park,Electric (including storage heaters) central heating,437,223,214
E09000012,Hackney,E05009379,King's Park,Gas central heating,3635,3883,-248
E09000012,Hackney,E05009379,King's Park,No central heating,126,119,7
E09000012,Hackney,E05009379,King's Park,Oil central heating,0,9,-9
E09000012,Hackney,E05009379,King's Park,Other central heating,311,279,32
E09000012,Hackney,E05009379,King's Park,"Solid fuel (for example wood, coal) central heating",2,0,2
E09000012,Hackney,E05009379,King's Park,Two or more types of central heating,529,320,209
E09000012,Hackney,E05009380,Lea Bridge,Electric (including storage heaters) central heating,942,844,98
E09000012,Hackney,E05009380,Lea Bridge,Gas central heating,3717,3975,-258
E09000012,Hackney,E05009380,Lea Bridge,No central heating,190,207,-17
E09000012,Hackney,E05009380,Lea Bridge,Oil central heating,5,9,-4
E09000012,Hackney,E05009380,Lea Bridge,Other central heating,146,171,-25
E09000012,Hackney,E05009380,Lea Bridge,"Solid fuel (for example wood, coal) central heating",3,2,1
E09000012,Hackney,E05009380,Lea Bridge,Two or more types of central heating,474,335,139
E09000012,Hackney,E05009381,London Fields,Electric (including storage heaters) central heating,783,675,108
E09000012,Hackney,E05009381,London Fields,Gas central heating,3586,3938,-352
E09000012,Hackney,E05009381,London Fields,No central heating,165,129,36
E09000012,Hackney,E05009381,London Fields,Oil central heating,3,18,-15
E09000012,Hackney,E05009381,London Fields,Other central heating,302,236,66
E09000012,Hackney,E05009381,London Fields,"Solid fuel (for example wood, coal) central heating",3,3,0
E09000012,Hackney,E05009381,London Fields,Two or more types of central heating,575,270,305
E09000012,Hackney,E05009382,Shacklewell,Electric (including storage heaters) central heating,421,251,170
E09000012,Hackney,E05009382,Shacklewell,Gas central heating,2558,2926,-368
E09000012,Hackney,E05009382,Shacklewell,No central heating,99,76,23
E09000012,Hackney,E05009382,Shacklewell,Oil central heating,3,2,1
E09000012,Hackney,E05009382,Shacklewell,Other central heating,197,131,66
E09000012,Hackney,E05009382,Shacklewell,"Solid fuel (for example wood, coal) central heating",1,0,1
E09000012,Hackney,E05009382,Shacklewell,Two or more types of central heating,358,223,135
E09000012,Hackney,E05009383,Springfield,Electric (including storage heaters) central heating,583,353,230
E09000012,Hackney,E05009383,Springfield,Gas central heating,3740,4402,-662
E09000012,Hackney,E05009383,Springfield,No central heating,153,130,23
E09000012,Hackney,E05009383,Springfield,Oil central heating,9,15,-6
E09000012,Hackney,E05009383,Springfield,Other central heating,256,276,-20
E09000012,Hackney,E05009383,Springfield,"Solid fuel (for example wood, coal) central heating",3,2,1
E09000012,Hackney,E05009383,Springfield,Two or more types of central heating,462,308,154
E09000012,Hackney,E05009384,Stamford Hill West,Electric (including storage heaters) central heating,308,265,43
E09000012,Hackney,E05009384,Stamford Hill West,Gas central heating,2519,2777,-258
E09000012,Hackney,E05009384,Stamford Hill West,No central heating,88,113,-25
E09000012,Hackney,E05009384,Stamford Hill West,Oil central heating,4,13,-9
E09000012,Hackney,E05009384,Stamford Hill West,Other central heating,80,99,-19
E09000012,Hackney,E05009384,Stamford Hill West,"Solid fuel (for example wood, coal) central heating",1,1,0
E09000012,Hackney,E05009384,Stamford Hill West,Two or more types of central heating,258,148,110
E09000012,Hackney,E05009385,Stoke Newington,Electric (including storage heaters) central heating,550,452,98
E09000012,Hackney,E05009385,Stoke Newington,Gas central heating,4323,4745,-422
E09000012,Hackney,E05009385,Stoke Newington,No central heating,131,172,-41
E09000012,Hackney,E05009385,Stoke Newington,Oil central heating,5,9,-4
E09000012,Hackney,E05009385,Stoke Newington,Other central heating,142,185,-43
E09000012,Hackney,E05009385,Stoke Newington,"Solid fuel (for example wood, coal) central heating",1,1,0
E09000012,Hackney,E05009385,Stoke Newington,Two or more types of central heating,496,249,247
E09000012,Hackney,E05009386,Victoria,Electric (including storage heaters) central heating,579,487,92
E09000012,Hackney,E05009386,Victoria,Gas central heating,3820,4166,-346
E09000012,Hackney,E05009386,Victoria,No central heating,129,140,-11
E09000012,Hackney,E05009386,Victoria,Oil central heating,1,18,-17
E09000012,Hackney,E05009386,Victoria,Other central heating,215,199,16
E09000012,Hackney,E05009386,Victoria,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000012,Hackney,E05009386,Victoria,Two or more types of central heating,476,256,220
E09000012,Hackney,E05009387,Woodberry Down,Electric (including storage heaters) central heating,1162,393,769
E09000012,Hackney,E05009387,Woodberry Down,Gas central heating,2295,2704,-409
E09000012,Hackney,E05009387,Woodberry Down,No central heating,140,110,30
E09000012,Hackney,E05009387,Woodberry Down,Oil central heating,8,36,-28
E09000012,Hackney,E05009387,Woodberry Down,Other central heating,895,213,682
E09000012,Hackney,E05009387,Woodberry Down,"Solid fuel (for example wood, coal) central heating",1,2,-1
E09000012,Hackney,E05009387,Woodberry Down,Two or more types of central heating,480,223,257
E09000020,Kensington and Chelsea,E05009388,Abingdon,Electric (including storage heaters) central heating,575,544,31
E09000020,Kensington and Chelsea,E05009388,Abingdon,Gas central heating,2449,3256,-807
E09000020,Kensington and Chelsea,E05009388,Abingdon,No central heating,148,258,-110
E09000020,Kensington and Chelsea,E05009388,Abingdon,Oil central heating,37,110,-73
E09000020,Kensington and Chelsea,E05009388,Abingdon,Other central heating,350,288,62
E09000020,Kensington and Chelsea,E05009388,Abingdon,"Solid fuel (for example wood, coal) central heating",1,1,0
E09000020,Kensington and Chelsea,E05009388,Abingdon,Two or more types of central heating,326,212,114
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Electric (including storage heaters) central heating,602,797,-195
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Gas central heating,2418,3736,-1318
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,No central heating,140,261,-121
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Oil central heating,34,193,-159
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Other central heating,532,460,72
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,"Solid fuel (for example wood, coal) central heating",1,6,-5
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Two or more types of central heating,422,321,101
E09000020,Kensington and Chelsea,E05009390,Campden,Electric (including storage heaters) central heating,465,493,-28
E09000020,Kensington and Chelsea,E05009390,Campden,Gas central heating,2462,3188,-726
E09000020,Kensington and Chelsea,E05009390,Campden,No central heating,121,169,-48
E09000020,Kensington and Chelsea,E05009390,Campden,Oil central heating,38,101,-63
E09000020,Kensington and Chelsea,E05009390,Campden,Other central heating,341,271,70
E09000020,Kensington and Chelsea,E05009390,Campden,"Solid fuel (for example wood, coal) central heating",1,2,-1
E09000020,Kensington and Chelsea,E05009390,Campden,Two or more types of central heating,395,207,188
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Electric (including storage heaters) central heating,414,463,-49
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Gas central heating,2169,2857,-688
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,No central heating,107,149,-42
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Oil central heating,20,90,-70
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Other central heating,653,600,53
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,"Solid fuel (for example wood, coal) central heating",1,2,-1
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Two or more types of central heating,321,172,149
E09000020,Kensington and Chelsea,E05009392,Colville,Electric (including storage heaters) central heating,463,412,51
E09000020,Kensington and Chelsea,E05009392,Colville,Gas central heating,3019,3887,-868
E09000020,Kensington and Chelsea,E05009392,Colville,No central heating,144,238,-94
E09000020,Kensington and Chelsea,E05009392,Colville,Oil central heating,5,24,-19
E09000020,Kensington and Chelsea,E05009392,Colville,Other central heating,218,192,26
E09000020,Kensington and Chelsea,E05009392,Colville,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000020,Kensington and Chelsea,E05009392,Colville,Two or more types of central heating,481,220,261
E09000020,Kensington and Chelsea,E05009393,Courtfield,Electric (including storage heaters) central heating,732,781,-49
E09000020,Kensington and Chelsea,E05009393,Courtfield,Gas central heating,2554,3537,-983
E09000020,Kensington and Chelsea,E05009393,Courtfield,No central heating,169,298,-129
E09000020,Kensington and Chelsea,E05009393,Courtfield,Oil central heating,21,79,-58
E09000020,Kensington and Chelsea,E05009393,Courtfield,Other central heating,262,201,61
E09000020,Kensington and Chelsea,E05009393,Courtfield,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000020,Kensington and Chelsea,E05009393,Courtfield,Two or more types of central heating,376,229,147
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Electric (including storage heaters) central heating,278,233,45
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Gas central heating,1936,2265,-329
E09000020,Kensington and Chelsea,E05009394,Dalgarno,No central heating,66,54,12
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Oil central heating,11,15,-4
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Other central heating,156,149,7
E09000020,Kensington and Chelsea,E05009394,Dalgarno,"Solid fuel (for example wood, coal) central heating",2,1,1
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Two or more types of central heating,265,170,95
E09000020,Kensington and Chelsea,E05009395,Earl's Court,Electric (including storage heaters) central heating,810,820,-10
